sku,store_view_code,attribute_set_code,product_type,categories,product_websites,name,description,short_description,weight,product_online,tax_class_name,visibility,price,special_price,special_price_from_date,special_price_to_date,url_key,meta_title,meta_keywords,meta_description,base_image,base_image_label,small_image,small_image_label,thumbnail_image,thumbnail_image_label,swatch_image,swatch_image_label,created_at,updated_at,new_from_date,new_to_date,display_product_options_in,map_price,msrp_price,map_enabled,gift_message_available,custom_design,custom_design_from,custom_design_to,custom_layout_update,page_layout,product_options_container,msrp_display_actual_price_type,country_of_manufacture,additional_attributes,qty,out_of_stock_qty,use_config_min_qty,is_qty_decimal,allow_backorders,use_config_backorders,min_cart_qty,use_config_min_sale_qty,max_cart_qty,use_config_max_sale_qty,is_in_stock,notify_on_stock_below,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,website_id,related_skus,related_position,crosssell_skus,crosssell_position,upsell_skus,upsell_position,additional_images,additional_image_labels,hide_from_product_page,custom_options,bundle_price_type,bundle_sku_type,bundle_price_view,bundle_weight_type,bundle_values,bundle_shipment_type,associated_skus,configurable_variations,configurable_variation_labels
XDL-4K60,,Default,simple,"Default Category/Men,Default Category/Men/Men Shoes",base,"60,000 lumens, 4K, 3-chip DLP RGB laser large venue projector","60,000 lumens, 4K, 3-chip DLP RGB laser large venue projector","60,000 lumens, 4K, 3-chip DLP RGB laser large venue projector",1,1,Taxable Goods,"Catalog, Search",23,,,,xdl-4k60,,,,,,,,,,,,,,,,Block after Info Column,,,,No,,,,,3 columns,,Use config,,product_rma=no,999,0,1,0,0,1,1,0,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,
XDL-4K30,,Default,simple,"Default Category/Men,Default Category/Men/Men Shoes",base,"30,000 lumens, 4K, 3-chip DLP RGB laser large venue projector","30,000 lumens, 4K, 3-chip DLP RGB laser large venue projector","30,000 lumens, 4K, 3-chip DLP RGB laser large venue projector",1,1,Taxable Goods,"Catalog, Search",24,,,,xdl-4k30,,,,,,,,,,,,,,,,Block after Info Column,,,,No,,,,,3 columns,,Use config,,product_rma=no,999,0,1,0,0,1,1,0,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,
UDX-W22,,Default,simple,"Default Category/Men,Default Category/Men/Men Shoes",base,"21,000 lumens, WUXGA, 3-chip DLP laser phosphor large venue projector","21,000 lumens, WUXGA, 3-chip DLP laser phosphor large venue projector","21,000 lumens, WUXGA, 3-chip DLP laser phosphor large venue projector",1,1,Taxable Goods,"Catalog, Search",25,,,,udx-w22,,,,,,,,,,,,,,,,Block after Info Column,,,,No,,,,,3 columns,,Use config,,product_rma=no,999,0,1,0,0,1,1,0,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,
SP4K-25,,Default,simple,"Default Category/Men,Default Category/Men/Men Shoes",base,"23,500 lumens smart cinema projector","23,500 lumens smart cinema projector","23,500 lumens smart cinema projector",1,1,Taxable Goods,"Catalog, Search",26,,,,sp4k-25,,,,,,,,,,,,,,,,Block after Info Column,,,,No,,,,,3 columns,,Use config,,product_rma=no,999,0,1,0,0,1,1,0,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,
SP4K-20,,Default,simple,"Default Category/Men,Default Category/Men/Men Shoes",base,"20,000 lumens smart cinema projector","20,000 lumens smart cinema projector","20,000 lumens smart cinema projector",1,1,Taxable Goods,"Catalog, Search",27,,,,sp4k-20,,,,,,,,,,,,,,,,Block after Info Column,,,,No,,,,,3 columns,,Use config,,product_rma=no,999,0,1,0,0,1,1,0,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,
SP4K-15,,Default,simple,"Default Category/Men,Default Category/Men/Men Shoes",base,"17,000 lumens smart cinema projector","17,000 lumens smart cinema projector","17,000 lumens smart cinema projector",1,1,Taxable Goods,"Catalog, Search",28,,,,sp4k-15,,,,,,,,,,,,,,,,Block after Info Column,,,,No,,,,,3 columns,,Use config,,product_rma=no,999,0,1,0,0,1,1,0,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,
SP4K-12,,Default,simple,"Default Category/Men,Default Category/Men/Men Shoes",base,"12,000 lumens smart cinema projector","12,000 lumens smart cinema projector","12,000 lumens smart cinema projector",1,1,Taxable Goods,"Catalog, Search",29,,,,sp4k-12,,,,,,,,,,,,,,,,Block after Info Column,,,,No,,,,,3 columns,,Use config,,product_rma=no,999,0,1,0,0,1,1,0,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,
FS70-W6,,Default,simple,"Default Category/Men,Default Category/Men/Men Shoes",base,WUXGA laser-phosphor projector with NVG stimulation,WUXGA laser-phosphor projector with NVG stimulation,WUXGA laser-phosphor projector with NVG stimulation,1,1,Taxable Goods,"Catalog, Search",30,,,,fs70-w6,,,,,,,,,,,,,,,,Block after Info Column,,,,No,,,,,3 columns,,Use config,,product_rma=no,999,0,1,0,0,1,1,0,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,
FS70-4K6,,Default,simple,"Default Category/Men,Default Category/Men/Men Shoes",base,4K UHD laser-phosphor projector with NVG stimulation,4K UHD laser-phosphor projector with NVG stimulation,4K UHD laser-phosphor projector with NVG stimulation,1,1,Taxable Goods,"Catalog, Search",31,,,,fs70-4k6,,,,,,,,,,,,,,,,Block after Info Column,,,,No,,,,,3 columns,,Use config,,product_rma=no,999,0,1,0,0,1,1,0,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,
FS40-WU,,Default,simple,"Default Category/Men,Default Category/Men/Men Shoes",base,Rock-solid and powerful WUXGA LED projector for NVG training,Rock-solid and powerful WUXGA LED projector for NVG training,Rock-solid and powerful WUXGA LED projector for NVG training,1,1,Taxable Goods,"Catalog, Search",32,,,,fs40-wu,,,,,,,,,,,,,,,,Block after Info Column,,,,No,,,,,3 columns,,Use config,,product_rma=no,999,0,1,0,0,1,1,0,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,
